tower/conv0 null 1 32,149,149,32 Conv
mixed_17x17x768d/branch1x1/Conv/BatchNorm/moving_mean null 64 192,0,0,0 moving_mean
mixed_17x17x768d/branch1x1/Conv/BatchNorm/moving_variance null 64 192,0,0,0 moving_variance
mixed_17x17x768d/branch1x1/Conv/weights null 64 1,1,768,192 weights
mixed_17x17x768d/branch7x7/Conv/BatchNorm/beta null 65 160,0,0,0 beta
mixed_17x17x768d/branch7x7/Conv/BatchNorm/moving_mean null 65 160,0,0,0 moving_mean
mixed_17x17x768d/branch7x7/Conv/BatchNorm/moving_variance null 65 160,0,0,0 moving_variance
mixed_17x17x768d/branch7x7/Conv/weights null 65 1,1,768,160 weights
mixed_17x17x768d/branch7x7/Conv_1/BatchNorm/beta null 66 160,0,0,0 beta
mixed_17x17x768d/branch7x7/Conv_1/BatchNorm/moving_mean null 66 160,0,0,0 moving_mean
mixed_17x17x768d/branch7x7/Conv_1/BatchNorm/moving_variance null 66 160,0,0,0 moving_variance
mixed_17x17x768d/branch7x7/Conv_1/weights null 66 1,7,160,160 weights
mixed_17x17x768d/branch7x7/Conv_2/BatchNorm/beta null 67 192,0,0,0 beta
mixed_17x17x768d/branch7x7/Conv_2/BatchNorm/moving_mean null 67 192,0,0,0 moving_mean
mixed_17x17x768d/branch7x7/Conv_2/BatchNorm/moving_variance null 67 192,0,0,0 moving_variance
mixed_17x17x768d/branch7x7/Conv_2/weights null 67 7,1,160,192 weights
mixed_17x17x768d/branch7x7dbl/Conv/BatchNorm/beta null 68 160,0,0,0 beta
mixed_17x17x768d/branch7x7dbl/Conv/BatchNorm/moving_mean null 68 160,0,0,0 moving_mean
mixed_17x17x768d/branch7x7dbl/Conv/BatchNorm/moving_variance null 68 160,0,0,0 moving_variance
mixed_17x17x768d/branch7x7dbl/Conv/weights null 68 1,1,768,160 weights
mixed_17x17x768d/branch7x7dbl/Conv_1/BatchNorm/beta null 69 160,0,0,0 beta
mixed_17x17x768d/branch7x7dbl/Conv_1/BatchNorm/moving_mean null 69 160,0,0,0 moving_mean
mixed_17x17x768d/branch7x7dbl/Conv_1/BatchNorm/moving_variance null 69 160,0,0,0 moving_variance
mixed_17x17x768d/branch7x7dbl/Conv_1/weights null 69 7,1,160,160 weights
mixed_17x17x768d/branch7x7dbl/Conv_2/BatchNorm/beta null 70 160,0,0,0 beta
mixed_17x17x768d/branch7x7dbl/Conv_2/BatchNorm/moving_mean null 70 160,0,0,0 moving_mean
mixed_17x17x768d/branch7x7dbl/Conv_2/BatchNorm/moving_variance null 70 160,0,0,0 moving_variance
mixed_17x17x768d/branch7x7dbl/Conv_2/weights null 70 1,7,160,160 weights
mixed_17x17x768d/branch7x7dbl/Conv_3/BatchNorm/beta null 71 160,0,0,0 beta
mixed_17x17x768d/branch7x7dbl/Conv_3/BatchNorm/moving_mean null 71 160,0,0,0 moving_mean
mixed_17x17x768d/branch7x7dbl/Conv_3/BatchNorm/moving_variance null 71 160,0,0,0 moving_variance
mixed_17x17x768d/branch7x7dbl/Conv_3/weights null 71 7,1,160,160 weights
mixed_17x17x768d/branch7x7dbl/Conv_4/BatchNorm/beta null 72 192,0,0,0 beta
mixed_17x17x768d/branch7x7dbl/Conv_4/BatchNorm/moving_mean null 72 192,0,0,0 moving_mean
mixed_17x17x768d/branch7x7dbl/Conv_4/BatchNorm/moving_variance null 72 192,0,0,0 moving_variance
mixed_17x17x768d/branch7x7dbl/Conv_4/weights null 72 1,7,160,192 weights
mixed_17x17x768d/branch_pool/Conv/BatchNorm/beta null 74 192,0,0,0 beta
mixed_17x17x768d/branch_pool/Conv/BatchNorm/moving_mean null 74 192,0,0,0 moving_mean
mixed_17x17x768d/branch_pool/Conv/BatchNorm/moving_variance null 74 192,0,0,0 moving_variance
mixed_17x17x768d/branch_pool/Conv/weights null 74 1,1,768,192 weights
mixed_17x17x768e/branch1x1/Conv/BatchNorm/beta null 76 192,0,0,0 beta
mixed_17x17x768e/branch1x1/Conv/BatchNorm/moving_mean null 76 192,0,0,0 moving_mean
mixed_17x17x768e/branch1x1/Conv/BatchNorm/moving_variance null 76 192,0,0,0 moving_variance
mixed_17x17x768e/branch1x1/Conv/weights null 76 1,1,768,192 weights
mixed_17x17x768e/branch7x7/Conv/BatchNorm/beta null 77 192,0,0,0 beta
mixed_17x17x768e/branch7x7/Conv/BatchNorm/moving_mean null 77 192,0,0,0 moving_mean
mixed_17x17x768e/branch7x7/Conv/BatchNorm/moving_variance null 77 192,0,0,0 moving_variance
mixed_17x17x768e/branch7x7/Conv/weights null 77 1,1,768,192 weights
mixed_17x17x768e/branch7x7/Conv_1/BatchNorm/beta null 78 192,0,0,0 beta
mixed_17x17x768e/branch7x7/Conv_1/BatchNorm/moving_mean null 78 192,0,0,0 moving_mean
mixed_17x17x768e/branch7x7/Conv_1/BatchNorm/moving_variance null 78 192,0,0,0 moving_variance
mixed_17x17x768e/branch7x7/Conv_1/weights null 78 1,7,192,192 weights
mixed_17x17x768e/branch7x7/Conv_2/BatchNorm/beta null 79 192,0,0,0 beta
mixed_17x17x768e/branch7x7/Conv_2/BatchNorm/moving_mean null 79 192,0,0,0 moving_mean
mixed_17x17x768e/branch7x7/Conv_2/BatchNorm/moving_variance null 79 192,0,0,0 moving_variance
mixed_17x17x768e/branch7x7/Conv_2/weights null 79 7,1,192,192 weights
mixed_17x17x768e/branch7x7dbl/Conv/BatchNorm/beta null 80 192,0,0,0 beta
mixed_17x17x768e/branch7x7dbl/Conv/BatchNorm/moving_mean null 80 192,0,0,0 moving_mean
mixed_17x17x768e/branch7x7dbl/Conv/BatchNorm/moving_variance null 80 192,0,0,0 moving_variance
mixed_17x17x768e/branch7x7dbl/Conv/weights null 80 1,1,768,192 weights
mixed_17x17x768e/branch7x7dbl/Conv_1/BatchNorm/beta null 81 192,0,0,0 beta
mixed_17x17x768e/branch7x7dbl/Conv_1/BatchNorm/moving_mean null 81 192,0,0,0 moving_mean
mixed_17x17x768e/branch7x7dbl/Conv_1/BatchNorm/moving_variance null 81 192,0,0,0 moving_variance
mixed_17x17x768e/branch7x7dbl/Conv_1/weights null 81 7,1,192,192 weights
mixed_17x17x768e/branch7x7dbl/Conv_2/BatchNorm/beta null 82 192,0,0,0 beta
mixed_17x17x768e/branch7x7dbl/Conv_2/BatchNorm/moving_mean null 82 192,0,0,0 moving_mean
mixed_17x17x768e/branch7x7dbl/Conv_2/BatchNorm/moving_variance null 82 192,0,0,0 moving_variance
mixed_17x17x768e/branch7x7dbl/Conv_2/weights null 82 1,7,192,192 weights
mixed_17x17x768e/branch7x7dbl/Conv_3/BatchNorm/beta null 83 192,0,0,0 beta
mixed_17x17x768e/branch7x7dbl/Conv_3/BatchNorm/moving_mean null 83 192,0,0,0 moving_mean
mixed_17x17x768e/branch7x7dbl/Conv_3/BatchNorm/moving_variance null 83 192,0,0,0 moving_variance
mixed_17x17x768e/branch7x7dbl/Conv_3/weights null 83 7,1,192,192 weights
mixed_17x17x768e/branch7x7dbl/Conv_4/BatchNorm/beta null 84 192,0,0,0 beta
mixed_17x17x768e/branch7x7dbl/Conv_4/BatchNorm/moving_mean null 84 192,0,0,0 moving_mean
mixed_17x17x768e/branch7x7dbl/Conv_4/BatchNorm/moving_variance null 84 192,0,0,0 moving_variance
mixed_17x17x768e/branch7x7dbl/Conv_4/weights null 84 1,7,192,192 weights
mixed_17x17x768e/branch_pool/Conv/BatchNorm/beta null 86 192,0,0,0 beta
mixed_17x17x768e/branch_pool/Conv/BatchNorm/moving_mean null 86 192,0,0,0 moving_mean
mixed_17x17x768e/branch_pool/Conv/BatchNorm/moving_variance null 86 192,0,0,0 moving_variance
mixed_17x17x768e/branch_pool/Conv/weights null 86 1,1,768,192 weights
mixed_17x17x1280a/branch3x3/Conv/BatchNorm/beta null 88 192,0,0,0 beta
mixed_17x17x1280a/branch3x3/Conv/BatchNorm/moving_mean null 88 192,0,0,0 moving_mean
mixed_17x17x1280a/branch3x3/Conv/BatchNorm/moving_variance null 88 192,0,0,0 moving_variance
mixed_17x17x1280a/branch3x3/Conv/weights null 88 1,1,768,192 weights
mixed_17x17x1280a/branch3x3/Conv_1/BatchNorm/beta null 89 320,0,0,0 beta
mixed_17x17x1280a/branch3x3/Conv_1/BatchNorm/moving_mean null 89 320,0,0,0 moving_mean
mixed_17x17x1280a/branch3x3/Conv_1/BatchNorm/moving_variance null 89 320,0,0,0 moving_variance
mixed_17x17x1280a/branch3x3/Conv_1/weights null 89 3,3,192,320 weights
mixed_17x17x1280a/branch7x7x3/Conv/BatchNorm/beta null 90 192,0,0,0 beta
mixed_17x17x1280a/branch7x7x3/Conv/BatchNorm/moving_mean null 90 192,0,0,0 moving_mean
mixed_17x17x1280a/branch7x7x3/Conv/BatchNorm/moving_variance null 90 192,0,0,0 moving_variance
mixed_17x17x1280a/branch7x7x3/Conv/weights null 90 1,1,768,192 weights
mixed_17x17x1280a/branch7x7x3/Conv_1/BatchNorm/beta null 91 192,0,0,0 beta
mixed_17x17x1280a/branch7x7x3/Conv_1/BatchNorm/moving_mean null 91 192,0,0,0 moving_mean
mixed_17x17x1280a/branch7x7x3/Conv_1/BatchNorm/moving_variance null 91 192,0,0,0 moving_variance
mixed_17x17x1280a/branch7x7x3/Conv_1/weights null 91 1,7,192,192 weights
mixed_17x17x1280a/branch7x7x3/Conv_2/BatchNorm/beta null 92 192,0,0,0 beta
mixed_17x17x1280a/branch7x7x3/Conv_2/BatchNorm/moving_mean null 92 192,0,0,0 moving_mean
mixed_17x17x1280a/branch7x7x3/Conv_2/BatchNorm/moving_variance null 92 192,0,0,0 moving_variance
mixed_17x17x1280a/branch7x7x3/Conv_2/weights null 92 7,1,192,192 weights
mixed_17x17x1280a/branch7x7x3/Conv_3/BatchNorm/beta null 93 192,0,0,0 beta
mixed_17x17x1280a/branch7x7x3/Conv_3/BatchNorm/moving_mean null 93 192,0,0,0 moving_mean
mixed_17x17x1280a/branch7x7x3/Conv_3/BatchNorm/moving_variance null 93 192,0,0,0 moving_variance
mixed_17x17x1280a/branch7x7x3/Conv_3/weights null 93 3,3,192,192 weights
mixed_8x8x2048a/branch1x1/Conv/BatchNorm/beta null 96 320,0,0,0 beta
mixed_8x8x2048a/branch1x1/Conv/BatchNorm/moving_mean null 96 320,0,0,0 moving_mean
mixed_8x8x2048a/branch1x1/Conv/BatchNorm/moving_variance null 96 320,0,0,0 moving_variance
mixed_8x8x2048a/branch1x1/Conv/weights null 96 1,1,1280,320 weights
mixed_8x8x2048a/branch3x3/Conv/BatchNorm/beta null 97 384,0,0,0 beta
mixed_8x8x2048a/branch3x3/Conv/BatchNorm/moving_mean null 97 384,0,0,0 moving_mean
mixed_8x8x2048a/branch3x3/Conv/BatchNorm/moving_variance null 97 384,0,0,0 moving_variance
mixed_8x8x2048a/branch3x3/Conv/weights null 97 1,1,1280,384 weights
mixed_8x8x2048a/branch3x3/Conv_1/BatchNorm/beta null 98 384,0,0,0 beta
mixed_8x8x2048a/branch3x3/Conv_1/BatchNorm/moving_mean null 98 384,0,0,0 moving_mean
mixed_8x8x2048a/branch3x3/Conv_1/BatchNorm/moving_variance null 98 384,0,0,0 moving_variance
mixed_8x8x2048a/branch3x3/Conv_1/weights null 98 1,3,384,384 weights
mixed_8x8x2048a/branch3x3/Conv_2/BatchNorm/beta null 99 384,0,0,0 beta
mixed_8x8x2048a/branch3x3/Conv_2/BatchNorm/moving_mean null 99 384,0,0,0 moving_mean
mixed_8x8x2048a/branch3x3/Conv_2/BatchNorm/moving_variance null 99 384,0,0,0 moving_variance
mixed_8x8x2048a/branch3x3/Conv_2/weights null 99 3,1,384,384 weights
mixed_8x8x2048a/branch3x3dbl/Conv/BatchNorm/beta null 101 448,0,0,0 beta
mixed_8x8x2048a/branch3x3dbl/Conv/BatchNorm/moving_mean null 101 448,0,0,0 moving_mean
mixed_8x8x2048a/branch3x3dbl/Conv/BatchNorm/moving_variance null 101 448,0,0,0 moving_variance
mixed_8x8x2048a/branch3x3dbl/Conv/weights null 101 1,1,1280,448 weights
mixed_8x8x2048a/branch3x3dbl/Conv_1/BatchNorm/beta null 102 384,0,0,0 beta
mixed_8x8x2048a/branch3x3dbl/Conv_1/BatchNorm/moving_mean null 102 384,0,0,0 moving_mean
mixed_8x8x2048a/branch3x3dbl/Conv_1/BatchNorm/moving_variance null 102 384,0,0,0 moving_variance
mixed_8x8x2048a/branch3x3dbl/Conv_1/weights null 102 3,3,448,384 weights
mixed_8x8x2048a/branch3x3dbl/Conv_2/BatchNorm/beta null 103 384,0,0,0 beta
mixed_8x8x2048a/branch3x3dbl/Conv_2/BatchNorm/moving_mean null 103 384,0,0,0 moving_mean
mixed_8x8x2048a/branch3x3dbl/Conv_2/BatchNorm/moving_variance null 103 384,0,0,0 moving_variance
mixed_8x8x2048a/branch3x3dbl/Conv_2/weights null 103 1,3,384,384 weights
mixed_8x8x2048a/branch3x3dbl/Conv_3/BatchNorm/beta null 104 384,0,0,0 beta
mixed_8x8x2048a/branch3x3dbl/Conv_3/BatchNorm/moving_mean null 104 384,0,0,0 moving_mean
mixed_8x8x2048a/branch3x3dbl/Conv_3/BatchNorm/moving_variance null 104 384,0,0,0 moving_variance
mixed_8x8x2048a/branch3x3dbl/Conv_3/weights null 104 3,1,384,384 weights
mixed_8x8x2048a/branch_pool/Conv/BatchNorm/beta null 107 192,0,0,0 beta
mixed_8x8x2048a/branch_pool/Conv/BatchNorm/moving_mean null 107 192,0,0,0 moving_mean
mixed_8x8x2048a/branch_pool/Conv/BatchNorm/moving_variance null 107 192,0,0,0 moving_variance
mixed_8x8x2048a/branch_pool/Conv/weights null 107 1,1,1280,192 weights
